"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10451","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144453","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10452","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144454","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10453","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144455","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10454","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144456","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10455","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144459","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10456","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144460","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10457","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144462","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10458","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144463","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10459","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144464","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10460","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144465","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10461","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144466","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
"10462","Uttar Pradesh","Lighting of public spaces","WS/MP18317/2024-2025/144468","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","Dr. Sangeeta Balwant (2024-30) (2024-2030)","Elected MP","27-Mar-2025","SHRI SAI ENGINEERING WORKS","Payment Success","216337"
